ROUTE,COST,REVENUE,PROFIT
LEX-ORD,13561536.440000145,59696231.67999992,46134695
CLT-PIT,19398545.760000248,65265641.99999988,45867218
ATL-HSV,13572326.559999784,59063866.2599999,45491509
DTW-PHL,22653663.99999912,68112414.53999999,45458742
MSN-MSP,9674431.999999927,54849781.400000006,45175357
OMA-ORD,20673044.480000146,65793640.38,45120579
MSP-OMA,11757901.83999983,56528746.55999991,44770818
ATL-AVL,13185325.919999655,57618996.320000015,44433667
ORD-ROC,17727365.759999458,61733077.199999854,44005684
CMH-LGA,25828612.679999597,69820342.02000007,43991717
CLT-XNA,9345274.560000004,53258426.99999999,43913137
IAH-SFO,38514322.00000011,82409905.28000002,43895608
CLT-SDF,15690360.000000332,59351316.30000003,43660946
DFW-JAN,13278095.039999925,56905852.74000005,43627744
ELP-IAH,12821799.460000044,56411173.94000004,43589388
IAH-LFT,12603271.519999815,56019778.21999999,43416516
PHL-PIT,11637864.16000017,54968673.89999999,43330803
EWR-PIT,16108811.319999916,59271948.15999991,43163159
ORD-SYR,18717856.52,61562736.059999965,42844883
BHM-CLT,15379932.0,58052001.27999995,42672072
CLT-LEX,10642324.680000054,52902016.0,42259667
CVG-ORD,33083833.75999897,74925204.95999993,41841418
CLE-DTW,8741168.39999987,50316972.3,41575814
CRP-IAH,12176845.039999826,53655091.19999995,41478220
LIT-ORD,14042779.519999858,55437942.80000006,41395167
ATL-SGF,10344807.879999924,50968311.96000006,40623520
BZN-SLC,7308854.639999978,47914039.64,40605150
IDA-SLC,6236667.839999933,46839288.0,40602512
CLE-CLT,16681090.400000311,57219206.0,40538594
ASE-ORD,12498708.95999991,53036367.11999992,40537659
DCA-PHL,7786878.839999957,48304540.799999975,40517676
DCA-LGA,40129000.08000071,80587913.94000004,40458909
BDL-PHL,9368628.320000004,49725108.960000016,40356483
DFW-IAH,35457637.12000074,75696291.75999998,40238656
BTR-IAH,10706568.599999744,50926088.33999999,40219481
DTW-MKE,11006796.6400001,51094629.79999998,40087851
CLT-IAD,24253557.12000107,64199121.73999982,39945607
CLT-TLH,9317914.240000164,49254830.640000045,39936912
ORD-TYS,14647710.0,54560348.279999934,39912639
ATL-ROA,10913907.719999854,50670406.08000001,39756511
CLT-STL,15767412.0,55418147.76000008,39650721
LGA-RDU,31025477.339998256,70672185.72,39646748
ORD-SGF,16558612.039999852,55955912.76000007,39397305
MCI-MSP,15893840.320000224,55269145.61999996,39375290
DTW-MSN,10078304.320000198,49406894.64000006,39328589
DTW-SBN,7551231.599999895,46590920.0,39039860
EWR-ORD,37367545.42000215,76380022.39999996,39012495
ALB-ORD,12849797.400000148,51812524.72000001,38962734
BDL-ORD,19009861.640000008,57896331.84000013,38886488
DCA-JFK,17311332.319999818,56182888.439999886,38871567
EWR-IND,15730046.799999747,54547608.71999998,38817558
BNA-IAH,15245728.25999982,53961787.68000008,38716055
ATL-SFO,45965467.020000935,84595236.47999983,38629782
MEM-ORD,16103191.80000038,54394977.23999991,38291817
GSO-ORD,13373293.35999974,51523428.23999995,38150125
FNT-ORD,8661755.979999915,46776011.04000007,38114282
DEN-EGE,4197580.800000035,42244818.0,38047042
DTW-SYR,8221191.840000066,46206417.60000009,37985173
ATL-MEM,21920236.8000004,59888723.20000018,37968478
CLT-PBI,15601194.399999725,53401003.5,37799742
DFW-MFE,15512321.879999911,53273976.64000008,37761642
ATL-SDF,17193323.83999966,54946469.99999997,37753119
ATL-HPN,13370284.800000189,51039455.36000005,37669180
DTW-IAH,36478566.0,74048927.34000012,37570346
CVG-MSP,12655507.03999986,50139915.84,37484425
BTR-DFW,11302354.439999994,48336236.48000001,37033884
ATL-GPT,10876177.91999998,47780142.840000026,36903949
IAH-MCI,13326496.120000156,50187526.47999996,36861054
CLT-PGV,6329753.040000022,43171412.48000004,36841680
ASE-DEN,10325115.0,46951761.91999991,36626674
ATL-IAD,27673236.84000036,63964830.08000014,36291578
AGS-CLT,10856362.399999935,47001707.27999997,36145337
GSP-ORD,13950736.319999864,50077238.39999991,36126520
CMH-EWR,11827782.199999904,47863911.20000005,36036152
ATL-SLC,34680641.99999942,70494095.64000003,35813470
BDL-MSP,11783400.0,47594991.52000001,35811594
DTW-SDF,8940737.840000043,44741939.76000001,35801199
DFW-SGF,16196605.279999604,51800665.87999998,35604040
CLT-LIT,9874374.4,45388515.88,35514145
DFW-MSP,32541803.35999926,67909124.52000004,35367282
ASE-DFW,8166015.47999992,43355295.53999994,35189277
IAH-SAT,16078623.840000467,50744328.48000001,34665689
DFW-SJT,7427118.27999992,41983255.44000001,34556119
PHL-PWM,12327564.479999734,46812582.78000006,34485011
CRP-DFW,13064223.920000182,47440808.79999999,34376578
JFK-LAX,206662678.0,240906053.1999996,34243374
DTW-LEX,7935582.720000047,42177582.400000006,34242010
DCA-RDU,19745027.239999544,53965450.32,34220406
ASE-LAX,11469590.640000096,45547797.11999998,34078198
DTW-TVC,6185371.079999924,40093947.83999999,33908581
CAK-CLT,9160342.079999946,43067353.21999999,33907003
AZO-ORD,6459969.999999977,40319294.40000003,33859304
BIL-DEN,9314223.300000114,43172264.79999997,33858098
ATL-ILM,9053670.360000089,42813866.239999965,33760188
ATL-JAX,31920258.800001454,65631806.280000106,33711503
GRR-MSP,7826826.2400001455,41457935.99999999,33631137
EWR-ORF,9556196.959999988,43164301.379999965,33608111
MSP-STL,17414997.760000292,50786099.19999988,33371105
DCA-HSV,9438913.359999936,42799725.300000034,33360816
DFW-HSV,10626309.35999989,43726164.02000002,33099854
ATL-FAY,8831330.04000005,41926943.60000003,33095599
CLT-DAY,13610945.59999976,46681876.79999992,33070871
AMA-DFW,12735518.400000116,45771400.2,33035903
CLT-DAB,11580221.44000013,44595002.8,33014721
IAH-SLC,28099934.000000592,61076305.36000008,32976386
ALB-EWR,6390423.760000119,39091194.0,32700765
DEN-SLC,48568444.12000212,81237311.40000013,32668845
ATL-DHN,6106844.399999968,38701118.50000004,32594274
ATL-RDU,32878302.23999792,65422210.55999978,32543904
DTW-STL,17127823.999999616,49653385.89999995,32525543
MHT-PHL,10577924.71999978,43067015.56000006,32489097
ATL-CSG,4577114.760000003,36954418.0,32377270
ORD-SAT,19536823.62000016,51796426.30000004,32259629
JFK-SLC,34769885.9999995,66966079.35999994,32196184
CLT-MSY,19235320.71999974,51360870.67999999,32125554
IAH-IND,12849494.079999952,44776944.00000001,31927436
CLE-PHL,10959183.479999907,42867663.480000034,31908477
CMH-PHL,11887651.280000055,43734173.39999992,31846580
IAH-XNA,8755838.399999931,40585284.95999999,31829450
DTW-ROC,7681237.120000042,39434851.120000005,31753618
BDL-CLT,17312168.95999999,48965887.08,31653767
RNO-SFO,9539436.159999922,41118487.79999998,31579040
IAH-PHX,29298445.020000365,60831164.16000007,31532688
DFW-TYR,5534252.160000053,36721879.14000005,31187637
LGA-ORF,16150945.599999648,47164541.59999995,31013609
ATL-MSP,44092981.56000012,75094206.39999996,31001361
IAH-MEM,12394840.080000158,43376767.49999999,30981903
CLT-OMA,9117144.639999948,39944185.30000004,30827032
DFW-LAW,5253549.60000007,36044209.88000002,30790668
AUS-IAH,8599322.400000084,39335823.800000034,30736496
DFW-TXK,3951140.980000024,34629596.0,30678274
EWR-STL,19967500.64000056,50614246.07999996,30646796
ABI-DFW,7969288.080000194,38597816.87999996,30628505
DFW-FSM,8168689.360000095,38693160.47999996,30524503
FWA-ORD,11120904.719999826,41639734.56000005,30518797
DEN-MOT,4263123.440000022,34773424.17999998,30510315
BOI-SFO,12513998.16000023,43003333.43999995,30489331
IND-MSP,11869442.479999809,42346253.020000026,30476797
ATL-SRQ,16553281.91999992,46836041.800000064,30282767
CLT-LAX,31691055.0,61877885.39999984,30186818
IAH-PHL,22784078.0,52927438.980000034,30143370
IAH-STL,13946446.900000086,43977696.83999997,30031250
ORD-RDU,21123551.280000016,51144512.69999999,30021001
BOS-SFO,77236792.95999807,107215448.33999996,29978636
DFW-LRD,6992955.840000056,36942275.60000005,29949369
CLT-HSV,8957060.840000093,38902122.27999997,29945054
ATL-CHO,9473160.599999871,39329486.35999998,29856325
IAH-PIT,17661540.320000082,47508205.15999995,29846685
BOS-EWR,26133888.0,55959818.88000022,29825950
ATL-EWR,50763867.64000211,80579048.15999976,29815181
CAK-ORD,9464229.86000016,39232425.53999992,29768195
ATL-LGA,77939803.75999093,107678004.0800003,29738165
HLN-SLC,5550418.560000035,35198427.95999996,29647995
LAN-ORD,6887344.659999974,36512428.69999998,29625046
ALB-DTW,7265346.119999863,36865648.56000002,29600286
AEX-DFW,5098615.199999965,34663049.51999997,29564426
PHL-SBY,4139342.879999961,33402600.0,29263384
FCA-SLC,6385283.280000028,35643801.47999996,29258518
DFW-DTW,34330766.96000055,63584746.92000019,29254032
RNO-SLC,11820613.9200002,41044991.0,29224554
ISP-PHL,2851435.19999998,31997277.0,29145973
BOI-SLC,14029717.599999756,43096598.24000005,29066897
EVV-ORD,7487719.999999974,36483305.56000002,28995571
CLT-CVG,20266715.000000592,49255458.56000002,28988742
SBP-SFO,5990241.600000053,34974209.40000002,28983965
AEX-ATL,7737600.0,36635059.45999994,28897464
DEN-EWR,33959644.699999146,62838503.39999999,28878838
HRL-IAH,7023172.799999888,35863064.899999954,28839899
DTW-MDT,5998179.000000007,34637564.98000003,28639376
SFO-SMF,8210794.28000016,36839183.39999999,28628409
IAH-JAX,10185034.919999966,38689371.6,28504335
MOT-MSP,8390954.040000103,36890754.47999996,28499807
MSP-PIT,10232113.51999991,38649037.96000002,28416920
IAD-IAH,14793409.399999823,43182372.51999998,28388971
ATL-ECP,8946350.400000062,37286109.59999997,28339791
IAH-ICT,10093527.43999996,38424339.35999999,28330817
ATL-FWA,10000466.080000049,38263280.0,28262810
CHA-ORD,9834532.099999985,38002679.96000004,28168164
CVG-EWR,18572572.400000136,46723487.57999999,28150903
IAH-PNS,9327457.559999786,37428918.40000004,28101489
JFK-PIT,9211082.400000038,37282492.24000002,28071415
DFW-TYS,11544579.279999916,39586790.31999997,28042211
GEG-SEA,45524664.32000099,73519101.24000037,27994381
JFK-RDU,25125347.29999937,53117124.47999984,27991756
CMI-ORD,5523237.599999923,33459312.600000005,27936079
PHL-SYR,8586058.400000008,36486821.7,27900775
ATL-SEA,37418326.96000054,65312026.66000003,27893688
IAD-IND,9642055.279999908,37493821.39999997,27851768
DEN-MAF,6283496.639999952,34060569.280000016,27777078
DFW-EWR,32875666.800000954,60565974.0,27690622
ATL-PIT,24408007.279999617,52008212.460000016,27600141
LNK-ORD,7169506.79999994,34727042.83999997,27557544
ATL-GRR,11047915.199999956,38575890.19999997,27527972
CLT-VPS,9472384.79999998,36972570.439999975,27500192
ATL-PHL,48116045.68000171,75571175.67999993,27455104
AVP-CLT,7133155.320000057,34581212.32000002,27448054
PHL-ROC,9739096.879999865,37129323.14000004,27390209
ATL-CHS,20398317.75999981,47768447.36000004,27370135
IAD-ORF,7734291.759999892,35081114.88000002,27346804
ATL-JAN,13261683.800000245,40605309.70000003,27343657
DFW-SDF,13918478.079999918,41198294.69999999,27279796
ORD-RST,12821586.96000019,40089377.560000055,27267796
ATL-IND,28294629.76000112,55559175.84000012,27264550
ANC-SEA,60327937.60000128,87590112.47999969,27262171
MSP-PHL,20516111.99999994,47759969.720000006,27243860
CMH-MSP,8660673.999999935,35683993.19999999,27023339
LGA-MCI,20363882.60000013,47372506.51999999,27008623
CLT-MKE,13611705.359999845,40527861.680000015,26916182
DLH-MSP,7744193.279999958,34654608.0,26910360
LGA-STL,33036348.79999975,59935820.55999993,26899504
DFW-ELP,18686571.839999717,45577805.5,26891131
ATL-FNT,6764234.399999961,33566469.64000004,26802273
ORD-PHL,35011478.319998555,61789224.959999934,26777751
ATL-IAH,41204350.480000734,67966544.64000016,26762177
EWR-RDU,25675479.03999977,52321422.24000003,26645932
DFW-MHK,5499158.400000025,32081731.5,26582571
IAD-ORD,11825541.119999912,38398649.96,26573108
HPN-ORD,10885977.75999991,37325200.63999999,26439210
ATL-BNA,29073783.59999908,55510507.36000008,26436706
CLT-GRR,6143227.320000064,32494037.760000028,26350812
IAH-SHV,5464910.399999978,31771517.5,26306493
CLT-SFO,22251332.480000053,48521828.0,26270532
CID-MSP,5625172.799999978,31824505.859999977,26199339
ATL-EVV,5463630.0,31604954.719999995,26141321
CVG-PHL,16793781.95999978,42916066.62000009,26122289
IAH-ORD,44675464.0,70757105.39999995,26081629
ATL-DSM,8578577.400000084,34644409.91999996,26065832
BNA-CLT,23732136.95999897,49708017.89999998,25975869
ATL-VLD,4742357.759999998,30690671.000000004,25948309
PSP-SFO,16597578.799999662,42488613.79999997,25891050
CLT-IAH,31728720.320000235,57567320.460000105,25838621
PHL-RDU,16995570.680000164,42763166.23999995,25767590
DFW-SPS,5518669.999999961,31276826.0,25758326
CLT-MLB,6431035.200000068,32165978.45999999,25734941
DFW-PNS,9496556.160000011,35215747.5,25719161
PHX-PSP,10113691.560000204,35802981.960000016,25689284
ATL-SBN,10150847.84000004,35824896.64000002,25674043
HVN-PHL,3791094.239999969,29423360.559999987,25632278
IAH-TUS,13200660.800000211,38807367.56,25606688
BTR-CLT,5725137.0,31034792.24,25309663
COU-ORD,6133994.700000051,31281598.800000004,25147651
BWI-JFK,9865617.279999966,34965498.40000004,25099870
ATL-CVG,16538540.48000027,41614368.96000004,25075807
CLT-PNS,8433807.359999923,33501008.799999997,25067195
CLT-GPT,4956182.640000005,30015083.039999995,25058895
DFW-MGM,7540780.799999984,32591475.200000025,25050680
EYW-MIA,7021770.0,32031111.300000045,25009348
GRB-MSP,6821601.440000057,31770753.73999997,24949154
DFW-LFT,8673750.079999924,33565534.40000003,24891791
CLE-IAD,8041482.239999936,32906361.18000001,24864885
DTW-GSP,6979797.440000064,31835003.200000044,24855192
ATL-MDT,6622183.199999933,31434569.199999977,24812388
BOS-CVG,10040595.840000017,34795837.440000005,24755251
IND-LGA,17696797.600000363,42422747.40000001,24725926
ATL-OKC,16340512.760000316,41045508.600000106,24705018
DAY-DFW,11279507.400000172,35975194.36000001,24695674
CLT-MOB,9134466.879999924,33807347.39999999,24672905
ATL-VPS,12098280.0,36746889.60000007,24648607
EUG-SFO,7375733.9399999585,31981154.000000007,24605407
ABE-ATL,6012011.039999969,30601684.799999997,24589651
DTW-MBS,8719711.999999905,33256884.0,24536884
OKC-ORD,15739993.880000183,40241826.24,24501859
CLT-ROC,9156083.99999995,33633257.4,24477173
BLI-SEA,6048107.760000079,30426732.59999996,24378641
CLT-SGF,8332217.20000009,32528229.99999997,24196000
CPR-DEN,5581723.400000015,29669156.23999996,24087436
CLT-DCA,19818641.59999967,43800049.43999997,23981433
ATL-MSY,36282915.0,60210784.07999987,23927887
DTW-ERI,5223506.079999966,29039456.0,23815732
LGA-SDF,12486604.35999984,36281093.22000004,23794477
ATL-BDL,20246521.839999866,43985429.62000006,23738909
ATL-PBI,30726348.80000109,54373670.39999997,23647416
CLT-MCI,11704519.679999989,35314219.20000002,23609687
IAD-LAX,48800044.16000161,72408301.7399999,23608250
LSE-ORD,4168428.0000000433,27682025.90000003,23513609
ATL-LFT,7571885.720000017,31045589.800000027,23473713
CLT-HPN,8012192.639999846,31476907.139999986,23464715
HSV-IAD,4564027.599999982,27976821.8,23412778
ABQ-DFW,19592541.540000256,42965059.67999995,23372518
SBA-SFO,9548574.24000009,32871245.039999984,23322682
MEM-MSP,7818776.0,31125034.080000013,23306254
BUF-PHL,9797751.600000018,33069295.200000003,23271519
ELP-ORD,10672107.680000162,33837100.08,23164998
IAH-MSY,19596646.900000017,42748483.17999999,23151823
ACT-DFW,5539135.319999953,28639763.999999978,23100639
ATL-PNS,12484724.999999825,35574816.639999904,23090105
LAX-MIA,42776402.48000007,65823564.1199999,23047175
SFO-SNA,25716478.320001133,48693342.40000003,22976853
DFW-SLC,35868557.59999972,58817389.40000004,22948800
DTW-MEM,7051109.599999946,29999800.439999983,22948684
SEA-SFO,73325454.73999615,96232136.21999983,22906677
ASE-SLC,3481751.520000017,26247168.0,22765266
DTW-RDU,9927442.399999904,32516425.33999999,22588980
BGR-PHL,9236338.15999995,31802746.91999999,22566401
DTW-MSP,21943925.119999204,44496567.120000064,22552658
DTW-SLC,17696684.999999978,40245780.96000001,22549092
DEN-LNK,5673803.719999961,28165582.259999964,22491770
CVG-IAH,14738543.819999805,37222423.98000003,22483895
CVG-DFW,16878172.72000012,39354134.82000006,22475966
ATL-MYR,6017014.679999922,28430143.0,22413163
AVP-ORD,8220487.679999893,30623966.09999999,22403483
BTV-DTW,5717643.6000000425,28025580.80000001,22307956
BUF-ORD,14717202.12000013,36993147.83999997,22275952
CWA-DTW,3336360.7199999923,25570875.0,22234493
ATL-RIC,29667263.63999848,51901456.67999998,22234179
ABY-ATL,4397887.800000021,26562345.28000001,22164448
DTW-PLN,2724607.200000009,24746259.200000014,22021632
ATL-MLI,7968713.760000084,29801631.999999985,21832886
BOI-SEA,33118675.680000607,54913410.72000001,21794719
BOS-RDU,27800324.80000024,49594599.3399998,21794273
IAD-PIT,7924446.03999989,29707528.699999984,21783091
BHM-IAH,12870126.8400001,34579725.360000044,21709620
EUG-SEA,10786598.159999805,32493737.760000024,21707127
MKE-PHL,8167100.000000065,29749569.13999997,21582470
DFW-MAF,12527983.43999982,34106882.87999995,21578887
EWR-IAH,37888616.0,59455251.900000006,21566642
BNA-MSP,13661003.399999805,35217276.14,21556273
GSO-PHL,8891566.200000055,30419858.039999984,21528282
EWR-PWM,7740771.680000058,29237645.820000008,21496869
DEN-SAF,3865859.0400000103,25354395.360000014,21488541
CWA-MSP,3460470.0,24930523.200000003,21470097
IAD-TYS,6345864.799999962,27792250.760000013,21446373
ATW-ORD,6163005.120000071,27569736.0,21406707
HSV-IAH,7916595.199999928,29314390.839999977,21397808
ATL-DCA,52334766.64000259,73725151.95999981,21390423
CLL-DFW,5507883.759999957,26879650.619999982,21371778
ATL-SAN,27970668.31999956,49334372.35999995,21363739
IAD-RDU,8222410.240000074,29530602.420000028,21308196
IAD-MDT,4465799.279999977,25766840.0,21300998
DFW-MSN,8768390.000000026,30045822.940000027,21277439
COS-IAH,8399630.840000046,29601988.380000014,21202342
DTW-ORF,7428109.999999969,28472151.28,21044019
ATL-PIA,7654096.800000063,28655626.97999996,21001530
ATL-MLU,9116765.439999944,30085083.359999977,20968308
ATL-MCI,29925184.79999909,50743671.480000064,20818506
CLT-MCO,27448780.799999,48260614.74000002,20811845
DFW-ROW,5263931.399999966,25969416.48,20705486
CLT-SAT,16964076.599999793,37667331.24000001,20703240
DFW-TUL,18190436.04000019,38871162.60000003,20680830
DFW-GRR,7606078.920000028,28278568.80000001,20672495
DFW-HOU,14205718.6800004,34850767.37999997,20645053
DEN-IAH,36811543.79999961,57428918.80000001,20617360
DCA-MSP,26224864.11999915,46807119.68000002,20582281
CLT-PIA,5325712.919999955,25854067.36000001,20528348
JFK-ORF,9952489.199999996,30453725.87999997,20501239
IND-PHL,13026572.6399999,33488290.780000005,20461725
BUF-IAD,5958825.620000041,26405419.32000003,20446582
HNL-MKK,4269714.480000031,24679664.40000002,20409956
GRK-IAH,4439748.959999956,24745038.479999997,20305300
DTW-HPN,6990278.400000048,27285687.000000004,20295404
DEN-PSC,6496256.640000034,26773136.40000001,20276875
FAT-SFO,5764083.360000033,26032414.42000002,20268329
BIL-MSP,6004523.839999975,26185852.8,20181330
GEG-SLC,9968153.919999976,30116251.19999999,20148160
ACV-SFO,4858320.0,24984268.799999997,20125946
IAD-STL,7932411.520000037,27973689.92,20041261
MFR-SFO,7056567.619999939,27081041.240000024,20024485
ABE-CLT,5981621.160000026,25972809.939999983,19991178
SEA-SLC,31768488.91999925,51746467.5,19977535
IND-MIA,10533798.399999892,30487580.360000007,19953790
BNA-JFK,13260683.299999852,33168696.62,19908012
EKO-SLC,3024864.0,22931001.820000004,19906136
BDL-DTW,9475086.600000083,29368928.16,19893837
LGA-MEM,12679548.819999922,32555722.50000003,19876180
ATL-CLE,25162980.959999666,45007293.59999997,19844184
PSC-SEA,14943968.1600008,34749096.240000054,19805094
DFW-STL,20466640.0,40225350.19999991,19758718
DTW-LAX,33687995.11999946,53431025.84000007,19743048
DFW-FWA,6367280.720000032,26108823.759999983,19741541
ATL-DTW,40146686.16000263,59857248.25999999,19710558
DAY-DEN,6646779.899999961,26345038.72000001,19698259
IAD-MSP,12798137.119999958,32466206.900000013,19668055
DFW-LEX,7880485.399999942,27546975.26000002,19666492
CLT-DEN,28287548.20000017,47938006.91999997,19650445
ALB-CLT,6903163.92000004,26511035.30000001,19607882
CLT-TPA,26172508.36000083,45774008.07999987,19601474
ORD-SNA,24785048.119999778,44375153.500000015,19590075
ATL-SNA,14139607.039999966,33717155.28,19577547
CLT-EWR,29682727.55999929,49252803.96000004,19570068
IAH-LRD,5090537.280000001,24592673.840000007,19502140
MBS-ORD,5561537.519999986,25044612.35999997,19483077
BRO-IAH,6279083.520000093,25735740.000000004,19456662
PDX-SFO,36719560.0,56157548.15999997,19437971
IAH-JAN,11371074.799999865,30781893.99999997,19410834
DFW-IND,13996447.520000253,33376589.16000001,19380124
CLT-TUL,6382641.5999999605,25750644.840000007,19367997
ORD-SFO,68120195.84000209,87463634.2199998,19343437
CID-DTW,6220540.400000035,25562397.48,19341851
JFK-MSP,13262322.040000131,32570611.299999963,19308283
MSP-RDU,10827948.000000115,30096786.40000001,19268838
BFL-PHX,5951583.0,25194634.960000005,19243057
DFW-MIA,35549446.56000086,54783193.91999995,19233723
DFW-MLU,4428719.26000004,23653549.480000008,19224832
CLT-RSW,15725112.0,34920089.28000002,19194998
ATL-OAJ,6318156.120000049,25510865.38000003,19192704
ATL-SJC,14535890.720000144,33683796.78000001,19147874
CLT-SBN,5185937.760000031,24320555.52000001,19134618
ATL-PDX,15508381.280000202,34531440.399999976,19023053
LIH-SFO,9016501.46000001,28027481.200000003,19010988
CMH-JFK,8934608.860000085,27921222.000000022,18986602
