ROUTE,COST,REVENUE,PROFIT
ATL-TRI,12819286.919999896,71510164.90000008,58690876
DFW-XNA,16250041.40000034,74634587.19999993,58384548
DTW-GRR,10401122.39999977,68666948.0,58265420
CLT-MDT,12346351.439999873,70602392.35999997,58256038
DFW-GRK,9920865.479999974,68024275.0,58103530
IAD-SFO,49426926.22000166,106915059.15999997,57488171
ORD-TVC,12432075.480000136,69690435.92000012,57258353
CMH-ORD,36092252.920001246,92925625.59999987,56833376
BNA-ORD,38481326.00000003,95243752.43999994,56762319
ATL-XNA,13436393.99999969,70045507.5,56608904
CLT-PHX,38748271.08000062,95343570.73999996,56595305
EWR-MSP,32453004.28000081,88797527.98000023,56344514
CLT-JAX,18701217.319999352,74377506.72000006,55676276
MKE-ORD,26429419.71999934,82053180.0,55623875
GRR-ORD,21583666.88000025,76983566.66000003,55399921
EWR-SFO,85537751.60000378,140439958.33999962,54902188
CHA-CLT,15304789.400000354,69783807.24000005,54479017
IAH-OKC,20486892.700000063,74800370.47999987,54313465
FSD-MSP,10226611.679999944,63988903.74000005,53762309
MCI-ORD,28544727.97999892,82296309.9,53751551
IAH-MSP,35534326.28000027,89239890.39999989,53705427
CLT-MEM,17198965.640000373,70878874.52000014,53679934
IAH-LGA,50896475.280001424,104498540.95999976,53602046
DAY-DTW,8578003.359999951,61984996.19999999,53406994
MSP-ORD,53367556.35999746,106622619.18000032,53255077
COS-DEN,19543758.560000382,72156294.0,52612739
ATL-MOB,16260518.199999772,68855202.00000006,52594682
SFO-SLC,33797103.58000045,86028832.49999985,52231708
DTW-EWR,32113446.75999975,84253740.79999992,52140357
ORD-TUL,17748400.00000033,69568394.04,51820008
MDT-ORD,17449060.720000017,68463054.48000008,51013987
PDX-SEA,58325488.43999631,108936503.75999992,50611083
ORD-PIT,26369346.299999774,76894079.68000002,50524688
DTW-ORD,48268051.79999827,98510013.0,50242142
FSD-ORD,14699514.839999892,64935065.57999996,50235538
DCA-IAH,29133844.2000006,79022039.3999999,49888197
ATL-BTR,12975292.800000193,62235428.53999988,49260078
BUF-DTW,10294260.720000053,59168458.0,48874293
CLT-PHF,10961070.799999852,59789255.67999997,48828186
CLT-CRW,10665190.83999994,59453178.62000002,48788002
DEN-RAP,8928664.0,57321730.5,48393060
JFK-SFO,133611315.60000506,181182480.96,47571224
CLT-RDU,18356304.00000017,65398326.84000003,47042014
FAT-LAX,15498432.83999967,62431223.52000005,46932793
CLE-ORD,34323507.459998906,81171657.95999976,46848214
CLT-CMH,18591552.08000062,65399310.16,46807716
AGS-ATL,17108677.84000022,63878496.0,46769463
DTW-ELM,11019893.399999855,57617140.0,46597045
CLT-PHL,23989781.08000037,70309450.96000002,46319688
CLT-OAJ,10389411.120000051,56456463.97999995,46067050
DTW-PIT,10621197.91999988,56651412.09999998,46030181
CLE-LGA,37013112.780002125,82860029.28000008,45846961
IAH-MAF,14162056.14000034,59628931.38000005,45466877
ORD-PIA,12571158.20000021,57875047.65999997,45303893
CWA-ORD,8714663.97999992,54017598.0,45303188
ATL-SHV,13627843.79999985,58751700.0,45124020
ATL-EYW,14413983.239999725,59278391.83999999,44864396
LGA-RIC,21006322.799999826,65777079.68000011,44770779
ATL-HSV,14376101.559999771,59063866.2599999,44687734
AUS-IAH,14028990.19999974,58683261.00000002,44654265
CLE-EWR,16222667.12000026,60760035.83999997,44537360
IAH-TUL,20324666.760000043,64627147.00000016,44302478
DTW-PHL,24151638.999999084,68112414.53999999,43960767
MSN-MSP,11205181.999999842,54849781.400000006,43644607
CLT-PIT,21693020.76000004,65265641.99999988,43572743
CLT-XNA,9724024.560000015,53258426.99999999,43534387
ORD-SDF,27512620.360000603,70879256.6999999,43366679
LEX-ORD,16640061.440000238,59696231.67999992,43056171
BOS-JFK,41059038.91999855,83958120.32000038,42899065
MSP-OMA,13795426.839999828,56528746.55999991,42733293
PHL-PIT,12431589.160000172,54968673.89999999,42537077
EWR-IAD,15229028.960000118,57757154.92000014,42528127
ELP-IAH,13907799.460000062,56411173.94000004,42503389
BOS-LGA,70085717.19999531,112307861.88000016,42222121
CLT-SDF,17277435.000000376,59351316.30000003,42073873
DFW-JAN,14870270.039999876,56905852.74000005,42035569
ATL-AVL,15611800.91999963,57618996.320000015,42007192
IAH-LFT,14090671.5199998,56019778.21999999,41929115
OMA-ORD,24255869.479999904,65793640.38,41537754
ORD-SLC,41120300.0,82611477.68000007,41491164
CLT-LEX,11499499.680000056,52902016.0,41402492
BHM-CLT,16654482.0,58052001.27999995,41397522
ORD-ROC,20368115.7599994,61733077.199999854,41364934
ORD-SYR,20976556.52000021,61562736.059999965,40586179
CRP-IAH,13089070.039999817,53655091.19999995,40565995
CLE-DTW,10064918.39999985,50316972.3,40252064
EWR-PIT,19302011.3200002,59271948.15999991,39969955
IDA-SLC,6887067.83999993,46839288.0,39952112
IAH-SFO,42532146.99999966,82409905.28000002,39877775
DCA-PHL,8428653.839999957,48304540.799999975,39875899
CLE-CLT,17531815.400000237,57219206.0,39687869
BDL-PHL,10065153.319999969,49725108.960000016,39659958
ATL-SGF,11310282.879999924,50968311.96000006,39658045
CMH-LGA,30171037.679999337,69820342.02000007,39649294
BZN-SLC,8371979.639999977,47914039.64,39542020
CLT-TLH,9915514.240000172,49254830.640000045,39339312
LIT-ORD,16186579.519999798,55437942.80000006,39251367
BTR-IAH,11816943.599999664,50926088.33999999,39109106
ATL-ROA,11899782.719999854,50670406.0800001,38770635
CLT-STL,16977237.0,55418147.76000008,38440898
CLT-IAD,25958982.12000111,64199121.73999982,38240179
DTW-MKE,13050246.640000105,51094629.79999998,38044401
DTW-SBN,8811981.59999989,46590920.0,37779110
MCI-MSP,17693540.32000011,55269145.61999996,37575592
DTW-MSN,11991254.32000022,49406894.64000006,37415640
BDL-ORD,20686936.64000012,57896331.84000013,37209413
DTW-SYR,9019866.840000074,46206417.60000009,37186498
ORD-TYS,17469510.0,54560348.279999934,37090837
ATL-MEM,22880761.800000496,59888723.20000018,37007953
CLT-PBI,16519494.399999697,53401003.5,36881442
DEN-EGE,5394880.799999971,42244818.0,36849742
DCA-JFK,19361232.31999981,56182888.439999886,36821661
ATL-ORD,69177858.63999495,105948099.60000008,36770272
BNA-IAH,17232028.259999864,53961787.68000008,36729753
ALB-ORD,15165872.40000024,51812524.72000001,36646652
ATL-SDF,18321698.839999773,54946469.99999997,36624744
CVG-MSP,13815682.03999983,50139915.84,36324250
ATL-HPN,14723809.800000202,51039455.36000005,36315655
GSO-ORD,15282193.359999722,51523428.23999995,36241226
EWR-IND,18348446.79999989,54547608.71999998,36199158
ORD-SGF,19790512.03999985,55955912.76000007,36165405
DFW-MFE,17166971.87999996,53273976.64000008,36106993
CLT-PGV,7086653.040000023,43171412.48000004,36084779
ASE-ORD,17202483.95999991,53036367.11999996,35833887
FNT-ORD,11035130.980000012,46776011.04000007,35740903
ATL-SFO,48945817.02000119,84595236.47999983,35649424
DFW-IAH,40078462.12000076,75696291.75999998,35617830
IAH-MCI,14604346.120000158,50187526.47999996,35583204
BTR-DFW,13289704.439999944,48336236.48000001,35046534
MEM-ORD,19487791.80000019,54394977.23999991,34907216
CLT-LIT,10486299.399999969,45388515.88,34902221
AGS-CLT,12101737.399999866,47001707.27999997,34899962
ATL-SLC,35674316.99999955,70494095.64000003,34819795
CVG-ORD,40182583.76000047,74925204.95999993,34742668
DTW-SDF,10016312.840000045,44741939.76000001,34725624
ATL-GPT,13103227.919999927,47780142.840000026,34676898
ATL-IAD,29291661.84000045,63964830.08000014,34673153
DTW-IAH,39390666.0,74048927.34000012,34658250
GSP-ORD,15420811.319999823,50077238.39999991,34656445
BDL-MSP,12951525.0,47594991.52000001,34643469
LGA-RDU,36311702.33999796,70672185.72,34360517
DFW-SJT,7881318.279999915,41983255.44000001,34101919
DFW-SGF,17736805.2799996,51800665.87999998,34063841
IAH-SAT,16955148.84000047,50744328.48000001,33789164
PHL-PWM,13023714.479999725,46812582.78000006,33788863
DCA-LGA,47014825.08000215,80587913.94000004,33573079
EWR-ORD,42871270.42000239,76380022.39999996,33508768
CMH-EWR,14577132.1999999,47863911.20000004,33286800
CRP-DFW,14220573.920000223,47440808.79999999,33220228
ATL-ILM,9718845.360000027,42813866.239999965,33095018
CAK-CLT,10037392.079999946,43067353.21999999,33029953
ASE-DFW,10516215.479999894,43355295.53999994,32839077
BIL-DEN,10398048.30000013,43172264.79999997,32774266
DTW-LEX,9413082.720000006,42177582.400000006,32764510
AZO-ORD,7561344.999999976,40319294.40000003,32757929
ATL-JAX,32883333.80000152,65631806.280000106,32748428
DCA-HSV,10179163.359999934,42799725.300000034,32620566
GRR-MSP,9026301.240000105,41457935.99999999,32431662
DTW-TVC,7731421.079999885,40093947.83999996,32362529
CLT-DAB,12276146.440000163,44595002.8,32318795
DFW-HSV,11545734.359999852,43726164.02000002,32180430
DFW-MSP,35804453.35999923,67909124.51999997,32104636
CLT-DAY,14755670.59999975,46681876.79999992,31926146
MHT-PHL,11327849.71999977,43067015.56000006,31739173
ATL-FAY,10206455.040000051,41926943.60000003,31720474
ATL-CSG,5253464.7600000445,36954418.0,31700920
ASE-DEN,15277515.0,46951761.91999991,31674274
ATL-DHN,7111769.3999999445,38701118.50000004,31589352
ATL-RDU,33961677.23999784,65422210.55999978,31460529
ASE-LAX,14134040.6400001,45547797.11999998,31413750
CLT-MSY,20118295.71999973,51360870.67999999,31242580
CLE-PHL,11694558.479999904,42867663.480000034,31173104
AMA-DFW,14614643.40000012,45771400.2,31156778
CMH-PHL,12583951.280000055,43734173.39999992,31150280
IAH-IND,13634594.079999952,44776944.00000004,31142336
MSP-STL,19667022.760000348,50786099.19999994,31119080
IAH-SLC,30067259.00000069,61076305.36000008,31009061
EWR-ORF,12261146.959999869,43164301.38,30903161
JFK-SLC,36224885.99999967,66966079.35999994,30741184
BDL-CLT,18280793.9600001,48965887.08,30685140
DCA-RDU,23419202.239999466,53965450.32,30546234
ORD-SAT,21329623.620000064,51796426.30000004,30466829
IAH-XNA,10123313.399999926,40585284.95999999,30461975
DFW-TYR,6263327.160000087,36721879.14000005,30458562
DTW-ROC,9038962.120000027,39434851.120000005,30395894
DFW-TXK,4240490.980000024,34629596.0,30388924
CLT-OMA,9649269.639999948,39944185.30000004,30294907
DFW-LAW,6020199.600000074,36044209.88000002,30024017
IAH-MEM,13479865.080000162,43376767.49999999,29896878
IAH-PHX,30936295.02000043,60831164.16000007,29894840
DFW-FSM,8914114.360000066,38693160.48,29779075
ABI-DFW,8918863.080000143,38597816.87999996,29678930
ATL-SRQ,17174206.91999997,46836041.800000064,29661842
DEN-MOT,5166498.440000007,34773424.17999998,29606940
CLT-HSV,9540560.840000063,38902122.28000002,29361555
IAH-PIT,18189915.320000045,47508205.15999995,29318309
DFW-LRD,7639830.840000066,36942275.60000005,29302494
CLT-LAX,32598255.0,61877885.39999984,29279623
IAH-PHL,23751278.0,52927438.980000034,29176171
ALB-EWR,9923298.760000128,39091194.0,29167890
HLN-SLC,6093118.560000046,35198427.95999996,29105296
ATL-MSP,46087981.559999935,75094206.39999996,29006361
AEX-DFW,5713015.199999962,34663049.51999997,28950027
FCA-SLC,6831608.280000028,35643801.47999996,28812191
ISP-PHL,3195235.1999999788,31997277.0,28802173
PHL-SBY,4646642.879999932,33402600.0,28756084
ALB-DTW,8204871.119999846,36865648.56000002,28660762
DTW-STL,21019348.999999512,49653385.89999995,28634018
IND-MSP,13719917.479999732,42346253.020000026,28626322
ATL-CHO,10830060.599999864,39329486.35999998,28499425
RNO-SFO,12750786.16000003,41118487.799999975,28367690
AEX-ATL,8330100.0,36635059.45999999,28304963
BOI-SLC,14811517.59999973,43096598.24000005,28285097
LAN-ORD,8444419.659999961,36512428.69999998,28067971
BOI-SFO,14950748.16000032,43003333.43999995,28052581
IAH-STL,15955246.900000133,43977696.83999997,28022450
RNO-SLC,13041613.920000236,41044991.0,28003554
HRL-IAH,7974322.799999874,35863064.899999954,27888757
IAD-IAH,15385384.399999812,43182372.51999998,27796996
ATL-ECP,9502775.4,37286109.59999997,27783366
LGA-ORF,19417045.59999986,47164541.59999995,27747509
FWA-ORD,13971579.71999982,41639734.56000005,27668123
DTW-MDT,7079154.000000017,34637564.98000003,27558401
EVV-ORD,9030395.00000004,36483305.56000002,27452896
IAH-ICT,10992327.439999994,38424339.35999999,27432017
CAK-ORD,11806704.860000169,39232425.53999992,27425724
EWR-STL,23237800.64000061,50614246.07999996,27376498
ORD-RDU,23906876.280000173,51144512.69999999,27237676
IAH-JAX,11556709.920000007,38689371.6,27132662
AVP-CLT,7465705.320000053,34581212.32000002,27115505
MSP-PIT,11537188.519999895,38649037.96000002,27111845
PHL-SYR,9391633.399999952,36486821.7,27095197
ATL-SEA,38362426.96000046,65312026.660000086,26949588
CLT-CVG,22306490.00000064,49255458.56000002,26948962
DEN-SLC,54308194.12000287,81237311.40000013,26929103
JFK-PIT,10365632.399999976,37282492.24000002,26916865
SBP-SFO,8062266.600000071,34974209.40000002,26911938
DFW-TYS,12715854.27999989,39586790.31999997,26870934
IAD-IND,10627030.279999891,37493821.39999997,26866793
CLT-VPS,10164109.800000016,36972570.439999975,26808467
ATL-JAN,13796958.800000263,40605309.70000003,26808382
IAH-PNS,10658257.559999775,37428918.40000004,26770689
ATL-CHS,21012417.75999988,47768447.36000004,26756033
ATL-GRR,11830165.199999928,38575890.19999997,26745722
MOT-MSP,10222679.040000126,36890754.47999996,26668085
ATL-FWA,11614166.079999996,38263280.0,26649110
SFO-SMF,10226044.280000191,36839183.39999999,26613159
ATL-FNT,6970634.3999999575,33566469.64000004,26595873
ATL-PIT,25442782.27999961,52008212.460000016,26565366
CMI-ORD,6942837.599999918,33459312.600000005,26516478
IAD-ORF,8603316.75999989,35081114.88000002,26477783
DEN-MAF,7658846.639999948,34060569.280000016,26401726
CMH-MSP,9481098.999999927,35683993.19999999,26202914
PHL-ROC,10926946.87999986,37129323.13999999,26202359
CHA-ORD,11838907.099999985,38002679.96000004,26163786
JFK-LAX,214818478.0,240906053.1999996,26087566
LNK-ORD,8652631.799999962,34727042.83999997,26074419
ATL-IND,29512854.760001216,55559175.84000012,26046325
DFW-MHK,6164858.400000028,32081731.499999978,25916872
CLT-MKE,14622705.35999984,40527861.680000015,25905178
CLT-GRR,6637552.320000079,32494037.760000028,25856487
MSP-PHL,22031111.99999981,47759969.720000006,25728860
DEN-EWR,37166644.69999901,62838503.39999999,25671838
DFW-DTW,37919966.95999995,63584746.92000019,25664837
ATL-EVV,6145755.0,31604954.719999995,25459196
ATL-VLD,5296307.760000017,30690671.000000004,25394359
DFW-SPS,5926294.999999957,31276826.0,25350701
ANC-SEA,62284837.60000128,87590112.47999969,25305271
IAH-SHV,6497585.399999946,31771517.5,25273818
CLT-MLB,6937435.200000055,32165978.460000005,25228542
DFW-SDF,15975653.079999875,41198294.69999999,25222621
DLH-MSP,9489368.279999956,34654608.0,25165185
ATL-DSM,9482852.400000086,34644409.920000024,25161557
ATL-BNA,30438258.59999907,55510507.36000008,25072233
LGA-MCI,22421507.60000025,47372506.51999999,24950998
ATL-PHL,50646620.68000199,75571175.67999993,24924529
DFW-ELP,20706471.83999969,45577805.5,24871231
HVN-PHL,4558869.239999961,29423360.559999987,24864503
IAD-ORD,13535166.11999991,38398649.96,24863483
CLT-GPT,5197007.640000011,30015083.039999995,24818069
CLT-SFO,23713157.480000097,48521828.0,24808707
JFK-RDU,28347422.299999326,53117124.47999984,24769685
BTR-CLT,6304587.0,31034792.24,24730212
CID-MSP,7114822.799999953,31824505.859999977,24709689
DFW-PNS,10580156.160000058,35215747.5,24635561
EYW-MIA,7452720.0,32031111.300000045,24578399
ATL-SBN,11251547.840000084,35824896.64000002,24573343
IAH-TUS,14240235.800000222,38807367.56,24567113
ATL-MDT,6888958.199999926,31434569.199999977,24545613
DFW-EWR,36079441.80000099,60565974.0,24486847
PHX-PSP,11385766.560000226,35802981.960000016,24417211
DTW-GSP,7467447.440000071,31835003.200000044,24367542
DFW-MGM,8241655.799999984,32591475.200000025,24349805
CVG-EWR,22425622.40000049,46723487.57999999,24297856
DAY-DFW,11714807.400000175,35975194.36000001,24260373
HPN-ORD,13075827.75999991,37325200.63999999,24249360
BNA-CLT,25474611.95999892,49708017.89999998,24233394
ORD-RST,15876036.960000193,40089377.560000055,24213346
ATL-CVG,17417990.480000295,41614368.96000004,24196362
ABE-ATL,6502136.039999937,30601684.800000034,24099526
CLT-MOB,9735441.879999915,33807347.39999999,24071930
BWI-JFK,10928967.279999908,34965498.40000004,24036520
PHL-RDU,18756720.680000164,42763166.23999991,24006444
CVG-PHL,18991731.96000004,42916066.62000009,23924339
BOS-EWR,32051688.0,55959818.88000022,23908150
CLT-ROC,9741833.999999974,33633257.40000001,23891424
ATL-OKC,17164687.76000032,41045508.600000106,23880843
CLT-IAH,33704745.32000021,57567320.460000105,23862595
DFW-LFT,9709875.07999991,33565534.40000003,23855662
CLT-PNS,9655482.359999916,33501008.8,23845520
ATL-EWR,56737692.640002295,80579048.15999976,23841356
BLI-SEA,6629282.760000086,30426732.59999996,23797465
GRB-MSP,8091576.440000081,31770753.73999997,23679178
CLE-IAD,9356532.239999931,32906361.18000001,23549835
ATL-IAH,44425375.48000129,67966544.64000016,23541153
CLT-SGF,9015392.200000064,32528229.99999997,23512825
LGA-STL,36600948.80000027,59935820.55999993,23334904
COU-ORD,8008169.700000066,31281598.800000004,23273471
BOS-SFO,84039592.95999803,107215448.33999996,23175839
ORD-PHL,38615378.319998525,61789224.959999934,23173851
CLT-MCI,12141244.679999975,35314219.20000002,23172962
ATL-LFT,7991360.720000017,31045589.800000027,23054239
BOS-CVG,11778120.83999996,34795837.440000005,23017726
GEG-SEA,50501589.320001,73519101.24000037,23017456
DTW-ERI,6044081.079999945,29039456.0,22995157
LSE-ORD,4730553.000000048,27682025.90000003,22951484
ATL-LGA,84755428.7599904,107678004.0800003,22922546
ATL-VPS,13831455.0,36746889.60000007,22915432
ATL-BDL,21098221.83999992,43985429.62000006,22887208
HSV-IAD,5202427.599999995,27976821.8,22774378
ACT-DFW,5908285.319999941,28639763.999999978,22731489
CLT-HPN,8748392.639999837,31476907.139999986,22728515
DTW-MBS,10574161.99999999,33256884.0,22682434
ATL-PBI,31784523.80000114,54373670.39999997,22589251
BUF-PHL,10516326.600000052,33069295.200000003,22552944
IND-LGA,19875247.60000041,42422747.40000001,22547476
CLT-DCA,21341591.599999502,43800049.43999997,22458475
IAH-ORD,48305764.0,70757105.39999995,22451335
ATL-MSY,37764240.0,60210784.07999987,22446559
IAD-LAX,50075044.160001695,72408301.7399999,22333252
LGA-SDF,14062879.35999979,36281093.22000004,22218201
DTW-MEM,7803734.599999942,29999800.439999964,22196059
ATL-MYR,6262939.679999917,28430143.0,22167238
BGR-PHL,9678988.159999968,31802746.91999999,22123752
DTW-SLC,18271409.999999933,40245780.96000001,21974368
MEM-MSP,9228176.0,31125034.080000013,21896854
IAH-MSY,20866021.899999864,42748483.17999999,21882448
EUG-SFO,10143158.939999932,31981154.000000007,21837982
CPR-DEN,7866073.400000066,29669156.23999996,21803086
ABQ-DFW,21183141.54000041,42965059.67999995,21781919
ELP-ORD,12068832.680000173,33837100.08,21768273
CWA-DTW,3833385.719999988,25570875.0,21737468
CVG-IAH,15531293.819999784,37222423.98000003,21691145
ABY-ATL,4912312.799999989,26562345.28000001,21650025
ASE-SLC,4769501.519999998,26247168.0,21477516
DTW-RDU,11059567.399999892,32516425.33999999,21456853
AVP-ORD,9235387.679999892,30623966.09999999,21388583
EWR-RDU,30964404.03999945,52321422.24000003,21357007
ATL-PNS,14237174.9999998,35574816.639999904,21337653
DEN-LNK,6900578.719999926,28165582.259999964,21264993
IAD-PIT,8475246.03999989,29707528.699999984,21232291
ATL-RIC,30677363.639998414,51901456.67999998,21224079
PSP-SFO,21305478.80000006,42488613.79999997,21183153
ATL-MLI,8626013.760000078,29801631.999999985,21175586
MKE-PHL,8584250.000000056,29749569.13999997,21165320
LAX-MIA,44737802.48000023,65823564.1199999,21085775
HSV-IAH,8280645.199999922,29314390.839999977,21033758
CVG-DFW,18389347.72000012,39354134.82000006,20964791
OKC-ORD,19314493.879999988,40241826.24,20927359
IAD-RDU,8676310.240000078,29530602.420000028,20854296
DTW-MSP,23661125.11999917,44496567.120000064,20835458
BHM-IAH,13789476.8400001,34579725.360000044,20790270
ATL-SAN,28563093.31999954,49334372.35999995,20771314
CLL-DFW,6155733.759999936,26879650.619999982,20723927
GSO-PHL,9705766.200000005,30419858.039999988,20714082
BTV-DTW,7314093.600000048,28025580.80000001,20711506
IAD-TYS,7125489.79999995,27792250.760000013,20666750
IAD-MDT,5132099.279999974,25766840.0,20634698
DFW-MSN,9516140.0,30045822.940000027,20529690
DTW-PLN,4322782.200000024,24746259.20000001,20423457
EUG-SEA,12082823.159999706,32493737.760000024,20410902
CWA-MSP,4520745.0,24930523.19999998,20409815
DFW-SLC,38549882.60000018,58817389.40000004,20267475
DEN-SAF,5108159.040000012,25354395.36000001,20246241
DFW-GRR,8051953.920000031,28278568.79999998,20226619
BUF-ORD,16852152.120000172,36993147.83999997,20141002
ATL-PIA,8546446.800000058,28655626.97999996,20109179
CLT-PIA,5776762.919999952,25854067.36000001,20077296
ATL-MLU,10071365.439999985,30085083.359999977,20013708
ATL-MCI,30739609.79999905,50743671.480000064,20004081
HNL-MKK,4681989.48000003,24679664.40000001,19997681
IND-PHL,13574597.6399999,33488290.780000005,19913700
BNA-MSP,15369353.399999788,35217276.14,19847923
ATW-ORD,7745955.120000096,27569736.0,19823757
DTW-ORF,8753584.999999972,28472151.28,19718544
BIL-MSP,6486773.839999968,26185852.8,19699080
BUF-IAD,6724275.62000006,26405419.32,19681135
DFW-MAF,14434633.43999973,34106882.87999995,19672237
CLT-SAT,18017901.599999875,37667331.24000001,19649417
ABE-CLT,6375371.160000027,25972809.939999983,19597429
BOI-SEA,35420650.68000061,54913410.72000001,19492745
GEG-SLC,10635428.91999995,30116251.19999999,19480885
DFW-ROW,6520631.399999944,25969416.48,19448786
COS-IAH,10212905.839999968,29601988.380000014,19389068
IND-MIA,11126073.399999889,30487580.359999977,19361518
EKO-SLC,3612264.0,22931001.820000004,19318736
GRK-IAH,5467848.959999952,24745038.48,19277199
SBA-SFO,13680699.24000011,32871245.039999984,19190557
ALB-CLT,7326913.920000045,26511035.30000001,19184131
CLT-MCO,29094955.79999888,48260614.74000002,19165670
ATL-SNA,14567407.039999966,33717155.28,19149743
BDL-DTW,10240836.600000087,29368928.16,19128088
IAD-STL,8848386.520000022,27973689.92,19125286
DFW-LEX,8438485.39999994,27546975.26000002,19108492
CLT-TUL,6648066.599999958,25750644.840000007,19102572
DEN-PSC,7680131.640000041,26773136.40000001,19093001
SFO-SNA,29670103.32000121,48693342.40000003,19023228
EWR-IAH,40443191.0,59455251.900000006,19012066
DAY-DEN,7347954.899999958,26345038.72000001,18997084
DFW-FWA,7136030.720000033,26108823.759999983,18972792
BRO-IAH,6808508.5200001085,25735740.000000004,18927237
IAH-LRD,5693012.279999987,24592673.840000007,18899665
ATL-SJC,14787965.72000015,33683796.780000016,18895800
DEN-IAH,38587093.79999927,57428918.80000001,18841810
DFW-MLU,4833569.260000043,23653549.480000008,18819982
JFK-ORF,11643364.199999915,30453725.87999997,18810364
EWR-PWM,10445496.67999995,29237645.820000008,18792147
ATL-PDX,15754906.280000208,34531440.399999976,18776528
IAH-JAN,12080274.799999854,30781893.99999997,18701636
ATL-OAJ,6827631.12000006,25510865.38000003,18683226
DCA-MSP,28246264.11999904,46807119.68000002,18560877
MBS-ORD,6496862.519999985,25044612.35999998,18547752
BFL-PHX,6686508.0,25194634.960000005,18508132
ATL-CLE,26530080.959999565,45007293.59999997,18477084
JFK-MSP,14156772.04000015,32570611.299999963,18413833
DTW-LAX,35024270.11999941,53431025.84000007,18406768
CLT-RSW,16573962.0,34920089.28000002,18346148
CLT-SEA,15879957.680000134,34138350.0,18258501
CLT-EVV,3723233.600000005,21937381.43999998,18214155
BNA-JFK,15012683.299999792,33168696.62,18156010
IAD-MSP,14337137.119999928,32466206.900000013,18129056
LIH-SFO,9901201.460000038,28027481.200000003,18126288
ORD-SNA,26249873.119999774,44375153.500000015,18125251
CID-DTW,7510240.40000006,25562397.48,18052151
MSP-RDU,12059823.000000129,30096786.40000001,18036963
DFW-IND,15343372.520000266,33376589.16,18033200
CLT-SBN,6297962.760000031,24320555.520000003,18022593
CLT-DSM,9556432.20000001,27567080.879999988,18010638
DEN-XNA,5808690.359999966,23795016.480000008,17986334
CLT-DEN,29965373.20000017,47938006.92000005,17972620
DFW-TUL,20964986.0400002,38871162.60000003,17906280
DTW-HPN,9410078.40000008,27285687.000000004,17875604
CLT-TPA,27907033.360000968,45774008.07999987,17866949
CMH-JFK,10086533.860000044,27921222.0,17834677
IAD-ROC,7539589.919999949,25368442.559999976,17828855
LGA-MEM,14737548.819999918,32555722.500000007,17818180
ATL-DTW,42039836.16000272,59857248.25999999,17817411
HNL-JHM,5277630.600000059,23075388.000000007,17797709
AEX-IAH,4458295.200000042,22249304.0,17791090
MHK-ORD,4362022.440000023,22084457.519999992,17722431
FAT-SFO,8340558.360000093,26032414.42000002,17691853
SEA-SLC,34065588.91999935,51746467.5,17680435
JAX-MIA,12194014.000000129,29867995.419999965,17673959
ACV-SFO,7319295.0,24984268.8,17664971
ATL-DCA,56063316.64000262,73725151.95999981,17661868
DFW-HOU,17202868.68000049,34850767.37999997,17647902
